DecoWallCurve3Pillar	24	9	25	3
DecoWallCurve3Pillar	24	10	25	3
DecoWallCurve3Pillar	24	11	25	3
DecoWallCurve3Pillar	24	12	25	3
DecoWallCurve3Pillar	24	13	25	3
DecoWallCurve3Pillar	24	14	25	3
DecoWallCurve3Pillar	24	15	25	3
DecoWallCurve3Pillar	24	16	25	3
DecoWallCurve3Pillar	24	17	25	3
DecoWallCurve3Pillar	24	18	25	3
DecoWallCurve3Pillar	24	19	25	3
DecoWallCurve3Pillar	24	20	25	3
DecoWallCurve3Pillar	24	21	25	3
DecoWallCurve3Pillar	24	22	25	3
DecoWallCurve3Pillar	24	23	25	3
PlatformTechSlope2Curve3Out	24	24	25	3
DecoWallCurve3Pillar	24	9	28	2
DecoWallCurve3Pillar	24	10	28	2
DecoWallCurve3Pillar	24	11	28	2
DecoWallCurve3Pillar	24	12	28	2
DecoWallCurve3Pillar	24	13	28	2
DecoWallCurve3Pillar	24	14	28	2
DecoWallCurve3Pillar	24	15	28	2
DecoWallCurve3Pillar	24	16	28	2
DecoWallCurve3Pillar	24	17	28	2
DecoWallCurve3Pillar	24	18	28	2
DecoWallCurve3Pillar	24	19	28	2
DecoWallCurve3Pillar	24	20	28	2
DecoWallCurve3Pillar	24	21	28	2
DecoWallCurve3Pillar	24	22	28	2
DecoWallCurve3Pillar	24	23	28	2
PlatformTechSlope2Curve3Out	24	24	28	2
DecoWallCurve2Pillar	26	9	20	3
DecoWallCurve2Pillar	26	10	20	3
DecoWallCurve2Pillar	26	11	20	3
DecoWallCurve2Pillar	26	12	20	3
PlatformTechSlope2Curve2Out	26	13	20	3
DecoWallCurve2Pillar	26	9	22	2
DecoWallCurve2Pillar	26	10	22	2
DecoWallCurve2Pillar	26	11	22	2
DecoWallCurve2Pillar	26	12	22	2
PlatformTechSlope2Curve2Out	26	13	22	2
DecoWallCurve3Pillar	27	9	11	3
DecoWallCurve3Pillar	27	10	11	3
DecoWallCurve3Pillar	27	11	11	3
DecoWallCurve3Pillar	27	12	11	3
DecoWallCurve3Pillar	27	13	11	3
DecoWallCurve3Pillar	27	14	11	3
DecoWallCurve3Pillar	27	15	11	3
DecoWallCurve3Pillar	27	16	11	3
DecoWallCurve3Pillar	27	17	11	3
PlatformTechSlope2Curve3Out	27	18	11	3
DecoWallCurve3Pillar	27	9	14	2
DecoWallCurve3Pillar	27	10	14	2
DecoWallCurve3Pillar	27	11	14	2
DecoWallCurve3Pillar	27	12	14	2
DecoWallCurve3Pillar	27	13	14	2
DecoWallCurve3Pillar	27	14	14	2
DecoWallCurve3Pillar	27	15	14	2
DecoWallCurve3Pillar	27	16	14	2
DecoWallCurve3Pillar	27	17	14	2
PlatformTechSlope2Curve3Out	27	18	14	2
TrackWallDeadendRoundPillar	27	9	17	0
TrackWallDeadendRoundPillar	27	10	17	0
RoadTechFinish	27	11	17	2
DecoWallBasePillar	27	9	18	2
DecoWallBasePillar	27	10	18	2
PlatformTechBaseWithHole24m	27	11	18	2
DecoWallCurve3Pillar	27	9	25	0
DecoWallCurve3Pillar	27	10	25	0
DecoWallCurve3Pillar	27	11	25	0
DecoWallCurve3Pillar	27	12	25	0
DecoWallCurve3Pillar	27	13	25	0
DecoWallCurve3Pillar	27	14	25	0
DecoWallCurve3Pillar	27	15	25	0
DecoWallCurve3Pillar	27	16	25	0
DecoWallCurve3Pillar	27	17	25	0
DecoWallCurve3Pillar	27	18	25	0
DecoWallCurve3Pillar	27	19	25	0
DecoWallCurve3Pillar	27	20	25	0
DecoWallCurve3Pillar	27	21	25	0
DecoWallCurve3Pillar	27	22	25	0
DecoWallCurve3Pillar	27	23	25	0
PlatformTechSlope2Curve3Out	27	24	25	0
DecoWallCurve3Pillar	27	9	28	1
DecoWallCurve3Pillar	27	10	28	1
DecoWallCurve3Pillar	27	11	28	1
DecoWallCurve3Pillar	27	12	28	1
DecoWallCurve3Pillar	27	13	28	1
DecoWallCurve3Pillar	27	14	28	1
DecoWallCurve3Pillar	27	15	28	1
DecoWallCurve3Pillar	27	16	28	1
DecoWallCurve3Pillar	27	17	28	1
DecoWallCurve3Pillar	27	18	28	1
DecoWallCurve3Pillar	27	19	28	1
DecoWallCurve3Pillar	27	20	28	1
DecoWallCurve3Pillar	27	21	28	1
DecoWallCurve3Pillar	27	22	28	1
DecoWallCurve3Pillar	27	23	28	1
PlatformTechSlope2Curve3Out	27	24	28	1
DecoWallBasePillar	28	9	17	0
DecoWallBasePillar	28	10	17	0
PlatformTechBase	28	11	17	0
TrackWallCurve1Pillar	28	9	18	1
TrackWallCurve1Pillar	28	10	18	1
RoadTechCurve1	28	11	18	1
DecoWallCurve2Pillar	28	9	20	0
DecoWallCurve2Pillar	28	10	20	0
DecoWallCurve2Pillar	28	11	20	0
DecoWallCurve2Pillar	28	12	20	0
PlatformTechSlope2Curve2Out	28	13	20	0
DecoWallCurve2Pillar	28	9	22	1
DecoWallCurve2Pillar	28	10	22	1
DecoWallCurve2Pillar	28	11	22	1
DecoWallCurve2Pillar	28	12	22	1
PlatformTechSlope2Curve2Out	28	13	22	1
DecoWallBasePillar	29	9	17	0
DecoWallBasePillar	29	10	17	0
PlatformTechBase	29	11	17	0
DecoWallBasePillar	29	9	18	0
DecoWallBasePillar	29	10	18	0
PlatformTechSlope2Start2	29	11	18	0
DecoWallBasePillar	29	9	19	0
DecoWallBasePillar	29	10	19	0
DecoWallCurve3Pillar	30	9	11	0
DecoWallCurve3Pillar	30	10	11	0
DecoWallCurve3Pillar	30	11	11	0
DecoWallCurve3Pillar	30	12	11	0
DecoWallCurve3Pillar	30	13	11	0
DecoWallCurve3Pillar	30	14	11	0
DecoWallCurve3Pillar	30	15	11	0
DecoWallCurve3Pillar	30	16	11	0
DecoWallCurve3Pillar	30	17	11	0
PlatformTechSlope2Curve3Out	30	18	11	0
DecoWallCurve3Pillar	30	9	14	1
DecoWallCurve3Pillar	30	10	14	1
